model,metric,fold,score
logreg,roc_auc,1,0.9120754716981132
logreg,roc_auc,2,0.8860377358490567
logreg,roc_auc,3,0.9445283018867925
logreg,roc_auc,4,0.9150943396226415
logreg,roc_auc,5,0.9124528301886793
logreg,roc_auc,6,0.9050000000000001
logreg,roc_auc,7,0.8984615384615385
logreg,roc_auc,8,0.8930769230769231
logreg,roc_auc,9,0.9253846153846154
logreg,roc_auc,10,0.9195225259915287
logreg,f1,1,0.7920792079207921
logreg,f1,2,0.8301886792452831
logreg,f1,3,0.912621359223301
logreg,f1,4,0.8288288288288288
logreg,f1,5,0.8411214953271028
logreg,f1,6,0.819047619047619
logreg,f1,7,0.8363636363636363
logreg,f1,8,0.8761904761904762
logreg,f1,9,0.8490566037735849
logreg,f1,10,0.8672566371681416
logreg,accuracy,1,0.7961165048543689
logreg,accuracy,2,0.8252427184466019
logreg,accuracy,3,0.912621359223301
logreg,accuracy,4,0.8155339805825242
logreg,accuracy,5,0.8349514563106796
logreg,accuracy,6,0.8137254901960784
logreg,accuracy,7,0.8235294117647058
logreg,accuracy,8,0.8725490196078431
logreg,accuracy,9,0.8431372549019608
logreg,accuracy,10,0.8529411764705882
rf,roc_auc,1,0.9875471698113207
rf,roc_auc,2,0.96
rf,roc_auc,3,0.9803773584905661
rf,roc_auc,4,0.9743396226415094
rf,roc_auc,5,0.9728301886792452
rf,roc_auc,6,0.9623076923076923
rf,roc_auc,7,0.975
rf,roc_auc,8,0.9673076923076923
rf,roc_auc,9,0.9757692307692307
rf,roc_auc,10,0.9622641509433962
rf,f1,1,0.912621359223301
rf,f1,2,0.8712871287128713
rf,f1,3,0.9158878504672897
rf,f1,4,0.8727272727272727
rf,f1,5,0.9074074074074074
rf,f1,6,0.8910891089108911
rf,f1,7,0.9026548672566371
rf,f1,8,0.8686868686868687
rf,f1,9,0.9142857142857143
rf,f1,10,0.8703703703703703
rf,accuracy,1,0.912621359223301
rf,accuracy,2,0.8737864077669902
rf,accuracy,3,0.912621359223301
rf,accuracy,4,0.8640776699029126
rf,accuracy,5,0.9029126213592233
rf,accuracy,6,0.8921568627450981
rf,accuracy,7,0.8921568627450981
rf,accuracy,8,0.8725490196078431
rf,accuracy,9,0.9117647058823529
rf,accuracy,10,0.8627450980392157
xgb,roc_auc,1,0.9720754716981131
xgb,roc_auc,2,0.9369811320754716
xgb,roc_auc,3,0.9577358490566039
xgb,roc_auc,4,0.9494339622641509
xgb,roc_auc,5,0.9641509433962265
xgb,roc_auc,6,0.9269230769230771
xgb,roc_auc,7,0.9623076923076923
xgb,roc_auc,8,0.9430769230769231
xgb,roc_auc,9,0.9642307692307692
xgb,roc_auc,10,0.941470927993839
xgb,f1,1,0.9038461538461539
xgb,f1,2,0.86
xgb,f1,3,0.8952380952380953
xgb,f1,4,0.8807339449541285
xgb,f1,5,0.9158878504672897
xgb,f1,6,0.865979381443299
xgb,f1,7,0.8828828828828829
xgb,f1,8,0.86
xgb,f1,9,0.9230769230769231
xgb,f1,10,0.8867924528301887
xgb,accuracy,1,0.9029126213592233
xgb,accuracy,2,0.8640776699029126
xgb,accuracy,3,0.8932038834951457
xgb,accuracy,4,0.8737864077669902
xgb,accuracy,5,0.912621359223301
xgb,accuracy,6,0.8725490196078431
xgb,accuracy,7,0.8725490196078431
xgb,accuracy,8,0.8627450980392157
xgb,accuracy,9,0.9215686274509803
xgb,accuracy,10,0.8823529411764706
lgbm,roc_auc,1,0.9777358490566038
lgbm,roc_auc,2,0.9509433962264151
lgbm,roc_auc,3,0.9641509433962264
lgbm,roc_auc,4,0.9664150943396228
lgbm,roc_auc,5,0.9633962264150943
lgbm,roc_auc,6,0.9384615384615385
lgbm,roc_auc,7,0.9626923076923077
lgbm,roc_auc,8,0.9534615384615385
lgbm,roc_auc,9,0.9700000000000001
lgbm,roc_auc,10,0.9557181363111282
lgbm,f1,1,0.8823529411764706
lgbm,f1,2,0.86
lgbm,f1,3,0.9245283018867925
lgbm,f1,4,0.8727272727272727
lgbm,f1,5,0.8909090909090909
lgbm,f1,6,0.8775510204081632
lgbm,f1,7,0.8909090909090909
lgbm,f1,8,0.8686868686868687
lgbm,f1,9,0.912621359223301
lgbm,f1,10,0.8598130841121495
lgbm,accuracy,1,0.883495145631068
lgbm,accuracy,2,0.8640776699029126
lgbm,accuracy,3,0.9223300970873787
lgbm,accuracy,4,0.8640776699029126
lgbm,accuracy,5,0.883495145631068
lgbm,accuracy,6,0.8823529411764706
lgbm,accuracy,7,0.8823529411764706
lgbm,accuracy,8,0.8725490196078431
lgbm,accuracy,9,0.9117647058823529
lgbm,accuracy,10,0.8529411764705882
ensemble_soft,roc_auc,1,0.9728301886792452
ensemble_soft,roc_auc,2,0.9320754716981132
ensemble_soft,roc_auc,3,0.9788679245283018
ensemble_soft,roc_auc,4,0.9667924528301887
ensemble_soft,roc_auc,5,0.9633962264150944
ensemble_soft,roc_auc,6,0.9426923076923076
ensemble_soft,roc_auc,7,0.9580769230769232
ensemble_soft,roc_auc,8,0.9446153846153846
ensemble_soft,roc_auc,9,0.96
ensemble_soft,roc_auc,10,0.947631882941856
ensemble_soft,f1,1,0.8932038834951457
ensemble_soft,f1,2,0.86
ensemble_soft,f1,3,0.9056603773584906
ensemble_soft,f1,4,0.8727272727272727
ensemble_soft,f1,5,0.897196261682243
ensemble_soft,f1,6,0.8571428571428571
ensemble_soft,f1,7,0.8828828828828829
ensemble_soft,f1,8,0.86
ensemble_soft,f1,9,0.9230769230769231
ensemble_soft,f1,10,0.8785046728971962
ensemble_soft,accuracy,1,0.8932038834951457
ensemble_soft,accuracy,2,0.8640776699029126
ensemble_soft,accuracy,3,0.9029126213592233
ensemble_soft,accuracy,4,0.8640776699029126
ensemble_soft,accuracy,5,0.8932038834951457
ensemble_soft,accuracy,6,0.8627450980392157
ensemble_soft,accuracy,7,0.8725490196078431
ensemble_soft,accuracy,8,0.8627450980392157
ensemble_soft,accuracy,9,0.9215686274509803
ensemble_soft,accuracy,10,0.8725490196078431
